NO,cagegory,Movie Name,File Size,Video Size,Video Length,Video Rate,Subtitle,File Name,filesize,disk
1,邵氏,万人斩, 2.08 GiB,1920 * 816, 1h 36mn,3097 Kbps,无字幕或内嵌字幕,万人斩.Killer Constable.1981.SB.BluRay.x264.3Audio.AAC.1080P.YYH3D.xt.mkv,0,中国电影2_3T
2,邵氏,三笑, 3.00 GiB,1280 * 720, 1h 54mn,3752 Kbps,无字幕或内嵌字幕,三笑[邵氏出品]The.Three.Smiles.1969.BD.720P.x264.DD5.1.Mandarin.内封中字简体-CnSCG.mkv,0,中国电影2_3T
3,邵氏,中华丈夫, 3.80 GiB,1280 * 720, 1h 45mn,5174 Kbps,无字幕或内嵌字幕,中华丈夫[邵氏出品].Heroes.of.the.East.1979.BD.720P.x264.DD2.0.国粤双语.内封中字简繁-CMCT.mkv,0,中国电影2_3T
4,邵氏,中国超人, 2.30 GiB,1280 * 720, 1h 27mn,3765 Kbps,无字幕或内嵌字幕,中国超人[邵氏出品].The.Super.Inframan.1975.BD720P.x264.DD2.0.mkv,0,中国电影2_3T
5,邵氏,五毒, 2.40 GiB,1280 * 720, 1h 41mn,3380 Kbps,无字幕或内嵌字幕,The.Five.Deadly.Venoms.1978.BluRay.720p.x264.AC3-CnSCG.mkv,0,中国电影2_3T
6,邵氏,五毒天罗, 2.17 GiB,1280 * 544, 1h 27mn,3566 Kbps,无字幕或内嵌字幕,五毒天罗[邵氏出品].The.Web.Of.Death.1976.BD.720P.XviD.AAC2.0.Mandarin.mkv,0,中国电影2_3T
7,邵氏,五虎屠龙, 3.20 GiB,1280 * 720, 1h 41mn,4500 Kbps,无字幕或内嵌字幕,五虎屠龙[邵氏出品].Brothers.Five.1970.BD.720P.x264.DTS2.0.Mandarin.内封中字简繁-CMCT.mkv,0,中国电影2_3T
8,邵氏,五遁忍术, 2.51 GiB,1280 * 720, 1h 48mn,3321 Kbps,无字幕或内嵌字幕,五遁忍术[邵氏出品].Five.Element.Ninjas.1982.BD.720P.x264.DD2.0.Mandarin.内封中字简体-CnSCG.mkv,0,中国电影2_3T
9,邵氏,五郎八卦棍, 3.20 GiB,1280 * 720, 1h 37mn,4701 Kbps,无字幕或内嵌字幕,[五郎八卦棍].Eight.Diagram.Pole.Fighter.1984.GER.BluRay.720p.x264.FLAC.2Audios-CMCT.mkv,0,中国电影2_3T
10,邵氏,仇连环, 1.48 GiB,1920 * 816, 1h 39mn,2144 Kbps,无字幕或内嵌字幕,仇连环.Man of Iron.1972.SB.BluRay.x264.AC3.1080P.YYH3D.xt.mkv,0,中国电影2_3T
11,邵氏,八道楼子, 2.92 GiB,1280 * 720, 1h 58mn,3532 Kbps,无字幕或内嵌字幕,八道楼子[邵氏出品].Seven.Man.Army.1976.香港.动作.BD720P.x264.DD5.1.国语中字.mkv,0,中国电影2_3T
12,邵氏,刺马, 1.82 GiB,1920 * 800, 1h 56mn,2246 Kbps,无字幕或内嵌字幕,刺马[邵氏出品].Blood.Brothers.1973.BD.1080P.x264.AAC5.1.Mandarin.内封特效中字简体.mkv,0,中国电影2_3T
13,邵氏,十三太保, 4.37 GiB,1280 * 544, 2h 1mn,5165 Kbps,无字幕或内嵌字幕,十三太保[邵氏出品].The.Heroic.Ones.1970.BD.720P.x264.DD2.0.Mandarin.内封特效中字简体.mkv,0,中国电影2_3T
14,邵氏,双侠, 3.28 GiB,1280 * 544, 1h 21mn,5764 Kbps,无字幕或内嵌字幕,The.Deadly.Duo.1971.BluRay.720p.x264.DD20-MySiLU.mkv,0,中国电影2_3T
15,邵氏,多情剑客无情剑, 3.29 GiB,1280 * 720, 1h 41mn,4643 Kbps,无字幕或内嵌字幕,多情剑客无情剑[邵氏出品].The.Sentimental.Swordsman.1977.BD.720P.x264.DD2.0.国粤双语.内封中字简繁-CMCT.mkv,0,中国电影2_3T
16,邵氏,大决斗, 4.77 GiB,1278 * 542, 1h 50mn,6196 Kbps,无字幕或内嵌字幕,大决斗[邵氏出品].The.Duel.1971.BD.720P.x264.AAC1.0.Mandarin.内封特效中字简体.mkv,0,中国电影2_3T
17,邵氏,大醉侠, 2.80 GiB,1280 * 720, 1h 34mn,4228 Kbps,无字幕或内嵌字幕,大醉侠[邵氏出品].Come.Drink.with.Me.1966.BD.720P.x264.DD2.0.Mandarin.内封中字简繁-CMCT『www.pantb.com』.mkv,0,中国电影2_3T
18,邵氏,天下第一拳, 2.94 GiB,1280 * 544, 1h 41mn,4143 Kbps,无字幕或内嵌字幕,天下第一拳[邵氏出品].Five.Fingers.Of.Death.1972.BD.720P.XviD.DD2.0.Mandarin.内嵌英语字幕.mkv,0,中国电影2_3T
19,邵氏,少林三十六房, 3.20 GiB,1280 * 720, 1h 56mn,3948 Kbps,无字幕或内嵌字幕,少林三十六房[邵氏出品].The.36th.Chamber.of.Shaolin.1978.BD.720P.x264.DD2.0.国粤双语.内封中字简体-CnSCG.mkv,0,中国电影2_3T
20,邵氏,少林五祖, 5.08 GiB,1280 * 544, 1h 49mn,6637 Kbps,无字幕或内嵌字幕,少林五祖.Five.Shaolin.Masters.1974.BD.720P.x264.DD2.0.Mandarin.mkv,0,中国电影2_3T
21,邵氏,少林寺, 4.46 GiB,1920 * 1080, 1h 55mn,5542 Kbps,无字幕或内嵌字幕,少林寺[邵氏出品].Shaolin.Temple.1976.香港.动作.BDrip.1080P.x264.AAC2.0.国语中字.mp4,0,中国电影2_3T
22,邵氏,少林搭棚大师, 2.70 GiB,1280 * 720, 1h 41mn,3815 Kbps,无字幕或内嵌字幕,少林搭棚大师[邵氏出品].Return.To.The.36th.Chamber.1982.BD.720P.x264.DD2.0.国粤双语.内封中字简体-CnSCG.mkv,0,中国电影2_3T
