NO,category,Movie Name,File Size,Video Size,Video Length,Video Rate,Subtitle,File Name,filesize,disk
1,艺人系列,乌鼠机密档案, 2.13 GiB,720 * 384, 1h 27mn,3481 Kbps,外挂中文,[乌鼠机密档案].Run And Kill.1993.mkv,0,中国系列1_2T
2,艺人系列,冲锋战警, 5.47 GiB,1280 * 546, 1h 40mn,7832 Kbps,外挂中文,The.Constable.2013.720p.BluRay.x264.DTS-WiKi.mkv,0,中国系列1_2T
3,艺人系列,别有动机, 2.12 GiB,1280 * 720, 1h 29mn,3380 Kbps,无字幕或内嵌字幕,别有动机.Ulterior.Motive.2015.HD720P.X264.AAC.mkv,0,中国系列1_2T
4,艺人系列,制服-A, 2.47 GiB,1920 * 1080, 1h 31mn,3872 Kbps,无字幕或内嵌字幕,A.Chilling.Cosplay.2013.1080p.WEB-DL.x264.AAC-SmY.mkv,0,中国系列1_2T
5,艺人系列,午夜心跳, 4.37 GiB,1280 * 720, 1h 25mn,7333 Kbps,无字幕或内嵌字幕,Midnight Beating 2010 HDTV 720p x264-NGB.mkv,0,中国系列1_2T
6,艺人系列,大事件, 2.33 GiB,1280 * 720, 1h 29mn,3728 Kbps,无字幕或内嵌字幕,[大事件(国粤双语)].Breaking.News.2004.BluRay.720p.x264.AC3-CMCT.mkv,0,中国系列1_2T
7,艺人系列,大追捕, 4.36 GiB,1280 * 542, 1h 47mn,5813 Kbps,外挂中文,Nightfall.2012.BluRay.720p.DTS.x264-CHD.mkv,0,中国系列1_2T
8,艺人系列,天水围的夜与雾, 2.73 GiB,874 * 480, 2h 2mn,3198 Kbps,无字幕或内嵌字幕,[天水围的夜与雾].Night.and.Fog.2009.DVDRip.x264.AC3.2Audios-CMCT.mkv,0,中国系列1_2T
9,艺人系列,夺帅, 3.80 GiB,1280 * 720, 1h 56mn,4666 Kbps,无字幕或内嵌字幕,[夺帅].Fatal.Move.2008.BluRay.720p.x264.AC3.2Audios-CMCT.mkv,0,中国系列1_2T
10,艺人系列,宅女侦探桂香, 1.59 GiB,1280 * 528, 1h 36mn,2360 Kbps,外挂中文,宅N侦探桂香.Detective.Gui.2015.HD720P.X264.AAC.Mandarin&Cantonese.CHS.Mp4Ba.mp4,0,中国系列1_2T
11,艺人系列,心战, 3.04 GiB,1920 * 804, 1h 25mn,5124 Kbps,无字幕或内嵌字幕,Cross.2013.1080P.WEB-DL.X264.AC3.mkv,0,中国系列1_2T
12,艺人系列,惊变, 1.37 GiB,720 * 400, 1h 37mn,2004 Kbps,无字幕或内嵌字幕,[惊变(国粤双语)].All.of.a.Sudden.1996.DVDRip.x264.AC3-CMCT.mkv,0,中国系列1_2T
13,艺人系列,我左眼见到鬼, 2.20 GiB,1280 * 720, 1h 37mn,3224 Kbps,无字幕或内嵌字幕,我左眼见到鬼.My.Left.Eye.Sees.Ghost.2002.Bluray.X264.2Audio.AAC.mkv,0,中国系列1_2T
14,艺人系列,撕票风云, 4.36 GiB,1280 * 544, 1h 32mn,6749 Kbps,外挂中文,Black.Ransom.2010.BluRay.720p.DTS.2Audio.x264-CHD.mkv,0,中国系列1_2T
15,艺人系列,救火英雄, 6.00 GiB,1280 * 536, 1h 55mn,7434 Kbps,外挂中文,As.the.Light.Goes.Out.2014.BluRay.720p.DTS.2Audio.x264-CHD.mkv,0,中国系列1_2T
16,艺人系列,朱丽叶与梁山伯, 1.37 GiB,720 * 384, 1h 24mn,2305 Kbps,外挂中文,[朱丽叶与梁山伯]Juliet.in.Love.2000.DVDRip.X264-ken861222.mkv,0,中国系列1_2T
17,艺人系列,杀生, 2.60 GiB,1280 * 720, 1h 43mn,3600 Kbps,无字幕或内嵌字幕,[杀生]Design.of.Death.2012.HDTV.720p.x264.AAC-CnSCG[国语中英字幕2.6G].mkv,0,中国系列1_2T
18,艺人系列,极度重犯, 701 MiB,720 * 368, 51mn 12s,1913 Kbps,外挂中文,zy-tsuspect-cd1.mkv,0,中国系列1_2T
19,艺人系列,极度重犯, 698 MiB,720 * 368, 53mn 5s,1839 Kbps,外挂中文,zy-tsuspect-cd2.mkv,0,中国系列1_2T
20,艺人系列,灭门, 2.74 GiB,1280 * 688, 1h 34mn,4140 Kbps,无字幕或内嵌字幕,think3s.com[DB3.9]灭门.Bad.Blood.2010.BluRay.720p.x264.AC3-WOFEI.mkv,0,中国系列1_2T
21,艺人系列,热爱岛, 3.50 GiB,1280 * 544, 1h 33mn,5393 Kbps,外挂中文,Passion.Island.2012.BluRay.720p.AC3.2Audio.x264-CHD.mkv,0,中国系列1_2T
22,艺人系列,花漾, 6.57 GiB,1280 * 534, 2h 2mn,7713 Kbps,外挂中文,Ripples.of.Desire.2012.720p.BluRay.x264.DTS-WiKi.mkv,0,中国系列1_2T
23,艺人系列,血染的婚纱, 1.44 GiB,704 * 368, 1h 46mn,1928 Kbps,无字幕或内嵌字幕,血染的婚纱.Love Guns And Glass.1995.mkv,0,中国系列1_2T
24,艺人系列,赤色危机, 2.05 GiB,1280 * 720, 1h 25mn,3439 Kbps,无字幕或内嵌字幕,[赤色危机].The.Blood.Bond.2010.BluRay.720p.x264.AC3-CMCT.mkv,0,中国系列1_2T
25,艺人系列,赤裸羔羊, 2.05 GiB,712 * 576, 1h 33mn,3152 Kbps,无字幕或内嵌字幕,【坏坏美眉www.hhmm.cc】赤裸羔羊.Naked.Killer.1992.R2.HK.DVDRip.x264.4Audio.AC3.iNT-NowYS.mkv,0,中国系列1_2T
