No,中文文件名,文件大小,画面尺寸,视频时长,视频码率,文件路径,文件Root,文件名称
1,Yes一族, 1.64 GiB,852 * 480, 1h 41mn,2310 Kbps,Yes一族.Yes.1991.DVD.x264.2Audio.NFYL,,南方娱乐（bbs.nfyl.net).Yes 一族.Yes.1991.DVD.x264.2Audio.NFYL.mkv
2,一世好命, 1.50 GiB,720 * 384, 1h 30mn,2361 Kbps,一世好命.You.Bet.Your.Life.1991.DVDrip.x264.AC3.2Audios-CMCT,,[一世好命(国粤双语)].You.Bet.Your.Life.1991.DVDrip.x264.AC3.2Audios-CMCT.mkv
3,一个复杂故事, 1.64 GiB,720 * 404, 1h 48mn,2166 Kbps,一个复杂故事.A Complicated Story 2013 DVDRip x264 AC3-SmY,,A Complicated Story 2013 DVDRip x264 AC3-SmY.mkv
4,一个烂赌的传说, 1.24 GiB,720 * 480, 1h 34mn,1885 Kbps,一个烂赌的传说.A.Gambler's.Story,,【2001.10.11】一个烂赌的传说.A.Gambler's.Story.國粵雙語.mkv
5,一刀倾城, 1.96 GiB,1280 * 720, 1h 40mn,2798 Kbps,一刀倾城.1993.DVDRip.x264.AC3.2Audios-CMCT,,一刀倾城.1993.DVDRip.x264.AC3.2Audios-CMCT.mkv
6,一咬OK, 1.44 GiB,720 * 400, 1h 30mn,2273 Kbps,一咬OK.A.bite.of.love.1990.DVDRip.H264.AC3.NFYL,,一咬OK（国粤语中字）.mkv
7,中华赌侠, 2.05 GiB,712 * 568, 1h 38mn,2974 Kbps,中华赌侠.Conman.In.Tokyo.2000.DVDRip.x264.AC3.3Audio.INT-NFYL,,南方娱乐（bbs.nfyl.net).中华赌侠.Conman.In.Tokyo.2000.DVDRip.x264.AC3.3Audio.INT-NFYL.mkv
8,僵尸医生, 1.33 GiB,720 * 384, 1h 34mn,2013 Kbps,僵尸医生.Doctor.Vampire.1991.DVDRip.X264.AC3-ken861222,,[僵尸医生].Doctor.Vampire.1991.DVDRip.X264.AC3-ken861222.mkv
9,公仆, 1.37 GiB,704 * 464, 1h 31mn,2142 Kbps,公仆.Law.With.Two.Phrase.1987.DVDRip.X264-NFYL,,南方娱乐（bbs.nfyl.net).公仆.Law.With.Two.Phrase.1987.DVDRip.X264-NFYL.mkv
10,刀, 2.00 GiB,1016 * 552, 1h 40mn,2837 Kbps,刀.The.Blade.1995.DVDRip.x264.AC3.2Audios-CMCT,,[刀].The.Blade.1995.DVDRip.x264.AC3.2Audios-CMCT.mkv
11,剑奴, 1.46 GiB,720 * 480, 1h 22mn,2522 Kbps,剑奴.Slave.of.the.Sword.1993.DVDrip.x264.AC3.2Audios-CMCT,,[剑奴].Slave.of.the.Sword.1993.DVDrip.x264.AC3.2Audios-CMCT.mkv
12,勇者无惧, 2.10 GiB,720 * 304, 1h 31mn,3268 Kbps,勇者无惧.Dreadnaught.1981.DVDRip.X264.AC3-NFYL,,南方娱乐（bbs.nfyl.net).勇者无惧].Dreadnaught.1981.DVDRip.X264.AC3-NFYL.mkv
13,卿本佳人, 1.36 GiB,656 * 480, 1h 32mn,2101 Kbps,卿本佳人.Pretty.Woman.1991.DVDrip.x264.AC3.2Audios-CMCT,,[卿本佳人(国粤双语)].Pretty.Woman.1991.DVDrip.x264.AC3.2Audios-CMCT.mkv
14,双瞳, 1.91 GiB,852 * 480, 1h 53mn,2408 Kbps,双瞳.Double.Vision.2002.DVDRip.H264.AC3.NFYL,,南方娱乐(bbs.nfyl.net).双瞳.Double.Vision.2002.DVDRip.H264.AC3.NFYL.mkv
