No,中文文件名,文件大小,画面尺寸,视频时长,视频码率,文件路径,文件Root,文件名称
1,405谋杀案, 4.02 GiB,720 * 480, 1h 37mn,5924 Kbps,电影频道录制版(A-N),,405谋杀案.1980年.mkv
2,731大溃逃, 2.40 GiB,1280 * 696, 1h 27mn,3921 Kbps,电影频道录制版(A-N),,731大溃逃.731.Fled.1993.HDTV.720p.x264.AC3-CMCT.mkv
3,东京审判, 3.55 GiB,1280 * 720, 1h 45mn,4829 Kbps,电影频道录制版(A-N),,东京审判.2006.CCTV6.mkv
4,东方大魔王, 2.59 GiB,1920 * 1080, 1h 24mn,4401 Kbps,电影频道录制版(A-N),,东方大魔王.1985 长影 CCTV6高清.mkv
5,东江特遣队, 1.61 GiB,1280 * 720, 1h 27mn,2621 Kbps,电影频道录制版(A-N),,东江特遣队.2006.CCTV6高清.720p.mkv
6,东港谍影, 3.40 GiB,720 * 480, 1h 30mn,5359 Kbps,电影频道录制版(A-N),,东港谍影.（1978年）.mkv
7,乱世儿女, 2.76 GiB,1280 * 680, 1h 29mn,4416 Kbps,电影频道录制版(A-N),,乱世儿女.(1990 香港)HDTV 720px264 AC3-CMCT.mkv
8,二十五个孩子一个爹, 3.88 GiB,1280 * 720, 1h 26mn,6424 Kbps,电影频道录制版(A-N),,二十五个孩子一个爹.2001.CCTV6.mkv
9,二子开店, 4.67 GiB,1280 * 720, 1h 37mn,6843 Kbps,电影频道录制版(A-N),,二子开店. 1987 CCTV6.720p.HDTV.x264 NGB.mkv
10,京都球侠, 1.49 GiB,1280 * 720, 1h 44mn,2048 Kbps,电影频道录制版(A-N),,京都球侠.1987.CCTV6.720P.mkv
11,代号213, 3.81 GiB,1920 * 1080, 1h 36mn,5660 Kbps,电影频道录制版(A-N),,代号213.CCTV6HD.1984.HDTV.720p.20140630.mkv
12,倒蛋部队, 2.63 GiB,1280 * 720, 1h 27mn,4317 Kbps,电影频道录制版(A-N),,倒蛋部队.1990.HDTVRip.720P.x264.ac3-DMWQC.mkv
13,八仙的传说, 1.74 GiB,1280 * 720, 1h 39mn,2503 Kbps,电影频道录制版(A-N),,八仙的传说.1985.CCTV6高清.720p.mkv
14,关东大侠, 4.37 GiB,1280 * 720, 1h 38mn,6361 Kbps,电影频道录制版(A-N),,关东大侠.1987 CCTV6.720p.HDTV.x264 NGB.mkv
