No,中文文件名,文件大小,画面尺寸,视频时长,视频码率,文件路径,文件Root,文件名称
1,三毛从军记, 2.81 GiB,1280 * 720, 1h 30mn,4450 Kbps,电影频道录制版(O-Z),,三毛从军记.1992.CCTV1.mkv
2,与魔鬼打交道的人, 2.42 GiB,1124 * 702, 1h 44mn,3323 Kbps,电影频道录制版(O-Z),,与魔鬼打交道的人.1980.CCTV6.mkv
3,中俄列车大劫案, 4.29 GiB,1920 * 1088, 1h 21mn,7507 Kbps,电影频道录制版(O-Z),,中俄列车大劫案.mpg
4,中华战士, 4.15 GiB,1280 * 720, 1h 26mn,6822 Kbps,电影频道录制版(O-Z),,中华战士.1987.HD8.Magnificent.Warriors.1987.HDTV.x264-XSKTV.mkv
5,五月八月, 1.20 GiB,1280 * 720, 1h 23mn,2070 Kbps,电影频道录制版(O-Z),,五月八月.May.August.2002.HDTV.720p.x264.AAC-iSCG.mp4
6,五朵金花, 4.37 GiB,1728 * 1080, 1h 33mn,6664 Kbps,电影频道录制版(O-Z),,五朵金花.1959.1080iHDTVRip.x264.ac3.mkv
7,亲家过年, 3.85 GiB,1280 * 720, 1h 25mn,6429 Kbps,电影频道录制版(O-Z),,亲家过年.CCTV6.In-Laws.New.Year.2012.HDTV.720p.x264-CHDTV.mkv
8,人到中年, 3.49 GiB,1920 * 1080, 1h 37mn,5136 Kbps,电影频道录制版(O-Z),,人到中年.1982.CCTV6.mkv
9,侠女十三妹, 4.67 GiB,1280 * 720, 1h 39mn,6704 Kbps,电影频道录制版(O-Z),,侠女十三妹.（1986）.mp4
10,傻冒经理, 4.03 GiB,1884 * 1080, 1h 29mn,6451 Kbps,电影频道录制版(O-Z),,傻冒经理.1988 深圳影业公司 CCTV6 高清.mkv
11,十字架下的魔影, 1.36 GiB,1232 * 720, 1h 28mn,2209 Kbps,电影频道录制版(O-Z),,十字架下的魔影.1994.CCTV6.mkv
12,卧虎, 2.40 GiB,1280 * 688, 1h 26mn,3987 Kbps,电影频道录制版(O-Z),,卧虎.CCTV6HD.Wo.Hu.2006.HDTV.720p.x264.AC3-CMCT.mkv
13,圣诞奇遇结良缘, 1.27 GiB,720 * 576, 1h 31mn,1979 Kbps,电影频道录制版(O-Z),,圣诞奇遇结良缘.It's a Drink! It's a Bomb!.1985-卫视电影台.mkv
14,夜盗珍妃墓, 3.24 GiB,1920 * 1080, 2h 47mn,2780 Kbps,电影频道录制版(O-Z),,夜盗珍妃墓.The.Night.Robbery.1989.HDTV.1080p.HEVC.AC3-HQC.mkv
15,天狗, 904 MiB,848 * 458, 1h 40mn,1257 Kbps,电影频道录制版(O-Z),,天狗.The.Forest.Ranger.2006.HDTV.MiniSD-TLF.mkv
16,天脉传奇, 2.56 GiB,1280 * 720, 1h 33mn,3919 Kbps,电影频道录制版(O-Z),,天脉传奇.(天津2002).mkv
17,太行山上, 5.01 GiB,1280 * 720, 1h 51mn,6436 Kbps,电影频道录制版(O-Z),,太行山上.CCTV6.On.The.Mountain.Of.Tai.Hang.2005.HDTV.720p.x264-CHDTV.mkv
18,奇袭, 816 MiB,1280 * 720, 1h 12mn,1576 Kbps,电影频道录制版(O-Z),,奇袭.1960.CCTV6高清.720p.20140307.mkv
19,小花, 1.97 GiB,1280 * 720, 1h 35mn,2939 Kbps,电影频道录制版(O-Z),,小花.The.Little.Flower.1979.720p.HDTV.H264.AAC.mkv
20,少爷的磨难, 4.37 GiB,1236 * 720, 2h 4mn,5019 Kbps,电影频道录制版(O-Z),,少爷的磨难.1987.CCTV6.mp4
21,岳家小将, 1.18 GiB,1920 * 1080, 1h 24mn,1999 Kbps,电影频道录制版(O-Z),,岳家小将.1983.CCTV6.mkv
22,平原游击队, 5.29 GiB,1698 * 1080, 1h 30mn,8360 Kbps,电影频道录制版(O-Z),,平原游击队.1955 长影 CCTV6HD 1080i.mkv
23,情不自禁, 4.37 GiB,1280 * 720, 1h 31mn,6867 Kbps,电影频道录制版(O-Z),,情不自禁.CCTV6.Desire.For.Fired.2001.HDTV.720p.x264-NGB.mkv
24,我爱你, 4.37 GiB,1280 * 720, 1h 31mn,6824 Kbps,电影频道录制版(O-Z),,我爱你.CCTV6.I.Love.You.2003.HDTV.720p.x264-NGB.mkv
25,手机, 4.36 GiB,1280 * 562, 1h 42mn,6089 Kbps,电影频道录制版(O-Z),,手机.2003.CHC.mkv
26,手足情, 2.30 GiB,1280 * 720, 1h 29mn,3665 Kbps,电影频道录制版(O-Z),,手足情.Reunion.2002.HDTV.720p.x264.AC3-CnSCG.mkv
27,无人驾驶, 2.30 GiB,1280 * 720, 1h 33mn,3538 Kbps,电影频道录制版(O-Z),,无人驾驶.Driverless.2010.HDTV.720p.x264.AC3-CnSCG.mkv
28,早春二月, 4.81 GiB,1920 * 1080, 1h 50mn,6257 Kbps,电影频道录制版(O-Z),,早春二月.1963.mp4
29,智破奇案, 3.89 GiB,1870 * 1080, 1h 27mn,6351 Kbps,电影频道录制版(O-Z),,智破奇案.1989.CCTV6高清.mkv
