No,中文文件名,文件大小,画面尺寸,视频时长,视频码率,文件路径,文件Root,文件名称
1,1942雾都大曝光, 298 MiB,720 * 448, 1h 28mn,473 Kbps,A-G,,1942雾都大曝光.flv
2,51号兵站, 387 MiB,720 * 576, 1h 34mn,573 Kbps,A-G,,51号兵站.flv
3,A面B面, 405 MiB,720 * 448, 1h 35mn,591 Kbps,A-G,,A面B面.flv
4,丁龙镇, 647 MiB,1280 * 996, 1h 29mn,1011 Kbps,A-G,,丁龙镇.flv
5,不拘小节的人, 337 MiB,720 * 576, 52mn 15s,903 Kbps,A-G,,不拘小节的人.flv
6,不该凋谢的玫瑰, 310 MiB,720 * 576, 1h 31mn,473 Kbps,A-G,,不该凋谢的玫瑰.flv
7,东厂喋血, 674 MiB,1280 * 856, 1h 33mn,1009 Kbps,A-G,,东厂喋血.flv
8,东归英雄传, 506 MiB,720 * 576, 1h 18mn,903 Kbps,A-G,,东归英雄传.flv
9,东进序曲, 625 MiB,720 * 576, 1h 36mn,901 Kbps,A-G,,东进序曲.flv
10,丰收之后, 763 MiB,1280 * 996, 1h 45mn,1011 Kbps,A-G,,丰收之后.flv
11,丹凤朝阳, 740 MiB,1280 * 1008, 1h 43mn,1003 Kbps,A-G,,丹凤朝阳.flv
12,丹心谱, 655 MiB,720 * 448, 1h 41mn,903 Kbps,A-G,,丹心谱.flv
13,二百五小传, 666 MiB,1280 * 984, 1h 32mn,1006 Kbps,A-G,,二百五小传.flv
14,仇中仇, 601 MiB,1920 * 816, 1h 33mn,903 Kbps,A-G,,仇中仇.flv
15,代号美洲豹, 260 MiB,720 * 448, 1h 16mn,473 Kbps,A-G,,代号美洲豹.flv
16,伏虎擒恶, 594 MiB,1280 * 714, 1h 22mn,1006 Kbps,A-G,,伏虎擒恶.flv
17,伏虎铁鹰, 639 MiB,1280 * 562, 1h 29mn,999 Kbps,A-G,,伏虎铁鹰.flv
18,保密局的枪声, 817 MiB,1280 * 938, 1h 53mn,1009 Kbps,A-G,,保密局的枪声.flv
19,傣女情恨, 625 MiB,1280 * 738, 1h 26mn,1006 Kbps,A-G,,傣女情恨.flv
20,儿子媳妇和老娘, 570 MiB,720 * 448, 1h 28mn,902 Kbps,A-G,,儿子媳妇和老娘.flv
21,光的棍, 638 MiB,1280 * 628, 1h 29mn,1001 Kbps,A-G,,光的棍.flv
22,党的女儿, 369 MiB,720 * 576, 1h 29mn,573 Kbps,A-G,,党的女儿.flv
23,八卦莲花掌, 573 MiB,1280 * 720, 1h 28mn,902 Kbps,A-G,,八卦莲花掌.flv
24,八女投江, 720 MiB,1280 * 548, 1h 40mn,1006 Kbps,A-G,,八女投江.flv
25,关东女侠, 616 MiB,1280 * 714, 1h 25mn,1002 Kbps,A-G,,关东女侠.flv
26,兵临绝境, 589 MiB,1280 * 666, 1h 21mn,1013 Kbps,A-G,,兵临绝境.flv
27,冰山上的来客, 779 MiB,720 * 576, 1h 41mn,1073 Kbps,A-G,,冰山上的来客.flv
28,冰雪金达莱, 679 MiB,1280 * 1070, 1h 33mn,1010 Kbps,A-G,,冰雪金达莱.flv
29,冲出死亡营, 647 MiB,1280 * 738, 1h 29mn,1008 Kbps,A-G,,冲出死亡营.flv
30,刀光虎影, 606 MiB,1280 * 984, 1h 24mn,1006 Kbps,A-G,,刀光虎影.flv
31,分水岭, 625 MiB,1280 * 962, 1h 26mn,1006 Kbps,A-G,,分水岭.flv
