No,中文文件名,文件大小,画面尺寸,视频时长,视频码率,文件路径,文件Root,文件名称
1,72家租客, 4.35 GiB,1280 * 546, 1h 38mn,6349 Kbps,72家租客.72.Tenants.Of.Prosperity.2010.BluRay.720p.AC3.2Audio-CHD,,72.Tenants.Of.Prosperity.2010.BluRay.720p.AC3.2Audio-CHD.mkv
2,一半海水一半火焰, 2.96 GiB,1280 * 720, 1h 41mn,4178 Kbps,一半海水一半火焰.Ocean Flame.2008.720p.BluRay.x264.AC3-CNXP,,一半海水一半火焰.Ocean Flame.2008.720p.BluRay.x264.AC3-CNXP.mkv
3,三岔口, 3.00 GiB,1280 * 720, 1h 40mn,4283 Kbps,三岔口.Divergence.2005.BluRay.720p.x264.AC3.2Audios-CMCT,,[三岔口].Divergence.2005.BluRay.720p.x264.AC3.2Audios-CMCT.mkv
4,上身, 3.00 GiB,1280 * 720, 1h 25mn,5024 Kbps,上身.Daughter.2015.BluRay.720p.x264.AC3.2Audios-CMCT,,[上身].Daughter.2015.BluRay.720p.x264.AC3.2Audios-CMCT.mkv
5,不再让你孤单, 3.20 GiB,1280 * 720, 2h 2mn,3751 Kbps,不再让你孤单.A.Beautiful.Life.2011.BluRay.720p.x264.AC3.2Audios-CMCT,,[不再让你孤单(国粤双语)].A.Beautiful.Life.2011.BluRay.720p.x264.AC3.2Audios-CMCT.mkv
6,东方秃鹰, 2.40 GiB,1280 * 720, 1h 37mn,3512 Kbps,东方秃鹰.Eastern.Condors.1986.BluRay.720p.AC3.2Audio.x264-CnSCG,,东方秃鹰(国粤).Eastern.Condors.1986.BluRay.720p.AC3.2Audio.x264-CnSCG.mkv
7,中国合伙人, 2.40 GiB,1280 * 720, 1h 52mn,3062 Kbps,中国合伙人.American.Dreams.in.China.2013.720p.BluRay.x264.AC3-CNXP,,中国合伙人.American.Dreams.in.China.2013.720p.BluRay.x264.AC3-CNXP.mkv
8,为你钟情, 4.37 GiB,1280 * 692, 1h 28mn,7063 Kbps,为你钟情.For.Your.Heart.Only.1985.BluRay.720p.AC3.2Audio.x264-CHD,,For.Your.Heart.Only.1985.BluRay.720p.AC3.2Audio.x264-CHD.mkv
9,买凶拍人, 3.00 GiB,1280 * 720, 1h 38mn,4348 Kbps,买凶拍人.YOU.SHOOT,I.SHOOT.2001.BluRay.720p.x264.AC3.2Audios-CMCT,,[买凶拍人].YOU.SHOOT,I.SHOOT.2001.BluRay.720p.x264.AC3.2Audios-CMCT.mkv
10,云水谣, 2.79 GiB,1280 * 720, 1h 52mn,3551 Kbps,云水谣.The.Knot.2006.HDTV.720p.x264.AC3-CMCT,,[云水谣].The.Knot.2006.HDTV.720p.x264.AC3-CMCT.mkv
11,侠女, 6.38 GiB,1280 * 546, 2h 59mn,5088 Kbps,侠女.Touch of Zen.1971.1080P.720P.BluRay.x264.ac3,,Touch of Zen.1971.720P.BluRay.x264.ac3.mkv
12,保持通话, 2.14 GiB,1280 * 720, 1h 50mn,2774 Kbps,保持通话.Connected.2008.BluRay.x264.AC3.720p-CMCT,,[保持通话(国粤双语)].Connected.2008.BluRay.x264.AC3.720p-CMCT.mkv
13,光辉岁月, 3.92 GiB,1280 * 536, 1h 42mn,5478 Kbps,光辉岁月.7.Assassins.2013.BluRay.720p.x264.AC3.2Audio-MTeam,,7.Assassins.2013.BluRay.720p.x264.AC3.2Audio-MTeam.mkv
14,冲上云霄, 2.18 GiB,1280 * 544, 1h 39mn,3135 Kbps,冲上云霄.Triumph.in.the.Skies.2015.BluRay.720p.2Audio.x264,,冲上云霄.Triumph.in.the.Skies.2015.BluRay.720p.2Audio.x264.mkv
15,力王, 2.80 GiB,1280 * 720, 1h 32mn,4353 Kbps,力王.The.Story.of.Ricky.1991.BluRay.720p.x264.2Audio.AC3-CnSCG,,[力王(国粤)]The.Story.of.Ricky.1991.BluRay.720p.x264.2Audio.AC3-CnSCG[无字2.8G].mkv
16,十万火急, 3.50 GiB,1280 * 720, 1h 48mn,4607 Kbps,十万火急.Lifeline.1997.BluRay.720p.x264.2Audio.AC3-CnSCG,,[十万火急]Lifeline.1997.BluRay.720p.x264.2Audio.AC3-CnSCG.mkv
17,十月初五的月光, 3.20 GiB,1280 * 720, 1h 43mn,4419 Kbps,十月初五的月光.Return.of.the.Cuckoo.2015.BluRay.720p.x264.2Audio.AC3-CnSCG,,[十月初五的月光]Return.of.the.Cuckoo.2015.BluRay.720p.x264.2Audio.AC3-CnSCG.mkv
18,半斤八两, 3.00 GiB,1280 * 720, 1h 36mn,4467 Kbps,半斤八两.The.Private.Eyes.1976.BluRay.720p.x264.AC3.2Audios-CMCT,,[半斤八两].The.Private.Eyes.1976.BluRay.720p.x264.AC3.2Audios-CMCT.mkv
19,卖身契, 3.00 GiB,1280 * 720, 1h 36mn,4427 Kbps,卖身契.The.Contract.1979.BluRay.720p.x264.AC3.2Audios-CMCT,,[卖身契].The.Contract.1979.BluRay.720p.x264.AC3.2Audios-CMCT.mkv
20,双子神偷, 2.05 GiB,1280 * 720, 1h 37mn,3023 Kbps,双子神偷.Twins.Mission.2007.720p.HDTV.x264.AC3-CMCT,,[双子神偷].Twins.Mission.2007.720p.HDTV.x264.AC3-CMCT.mkv
21,反贪风暴, 4.00 GiB,1280 * 536, 1h 31mn,6241 Kbps,反贪风暴.Z.Storm.2014.720p.BluRay.x264-WiKi,,Z.Storm.2014.720p.BluRay.x264-WiKi.mkv
22,合家欢, 2.28 GiB,1280 * 720, 1h 39mn,3266 Kbps,合家欢.Mr Coconut.1989.BD720P.X264.AAC.Cantonese&Mandarin.CHS.Mp4Ba,,合家欢.Mr Coconut.1989.BD720P.X264.AAC.Cantonese&Mandarin.CHS.Mp4Ba.mp4
23,同谋, 3.20 GiB,1280 * 720, 1h 42mn,4455 Kbps,同谋.Conspirators.2013.BluRay.720p.x264.2Audio.AC3-CnSCG,,[同谋(国粤)]Conspirators.2013.BluRay.720p.x264.2Audio.AC3-CnSCG[中文字幕3.2G].mkv
24,唐山大地震, 3.20 GiB,1280 * 720, 2h 16mn,3365 Kbps,唐山大地震.Aftershock.2010.BluRay.720p.x264.AC3-CMCT,,[唐山大地震(国粤双语)].Aftershock.2010.BluRay.720p.x264.AC3-CMCT.mkv
