No,中文文件名,文件大小,画面尺寸,视频时长,视频码率,文件路径,文件Root,文件名称
1,万人斩, 2.08 GiB,1920 * 816, 1h 36mn,3097 Kbps,万人斩.Killer Constable.1981.SB.BluRay.x264.3Audio.AAC.1080P.YYH3D.xt,,万人斩.Killer Constable.1981.SB.BluRay.x264.3Audio.AAC.1080P.YYH3D.xt.mkv
2,三笑, 3.00 GiB,1280 * 720, 1h 54mn,3752 Kbps,三笑.The.Three.Smiles.1969.BD.720P.x264.DD5.1.Mandarin-CnSCG,,三笑[邵氏出品]The.Three.Smiles.1969.BD.720P.x264.DD5.1.Mandarin.内封中字简体-CnSCG.mkv
3,中华丈夫, 3.80 GiB,1280 * 720, 1h 45mn,5174 Kbps,中华丈夫.Heroes.of.the.East.1979.BD.720P.x264.DD2.0-CMCT,,中华丈夫[邵氏出品].Heroes.of.the.East.1979.BD.720P.x264.DD2.0.国粤双语.内封中字简繁-CMCT.mkv
4,中国超人, 2.30 GiB,1280 * 720, 1h 27mn,3765 Kbps,中国超人.The.Super.Inframan.1975.BD720P.x264.DD2.0,,中国超人[邵氏出品].The.Super.Inframan.1975.BD720P.x264.DD2.0.mkv
5,五毒, 2.40 GiB,1280 * 720, 1h 41mn,3380 Kbps,五毒.The.Five.Deadly.Venoms.1978.BluRay.720p.x264.AC3-CnSCG,,The.Five.Deadly.Venoms.1978.BluRay.720p.x264.AC3-CnSCG.mkv
6,五毒天罗, 2.17 GiB,1280 * 544, 1h 27mn,3566 Kbps,五毒天罗.The.Web.Of.Death.1976.BD.720P.XviD.AAC2.0.Mandarin,,五毒天罗[邵氏出品].The.Web.Of.Death.1976.BD.720P.XviD.AAC2.0.Mandarin.mkv
7,五虎屠龙, 3.20 GiB,1280 * 720, 1h 41mn,4500 Kbps,五虎屠龙.Brothers.Five.1970.BD.720P.x264.DTS2.0.Mandarin-CMCT,,五虎屠龙[邵氏出品].Brothers.Five.1970.BD.720P.x264.DTS2.0.Mandarin.内封中字简繁-CMCT.mkv
8,五遁忍术, 2.51 GiB,1280 * 720, 1h 48mn,3321 Kbps,五遁忍术.Five.Element.Ninjas.1982.BD.720P.x264.DD2.0.Mandarin-CnSCG,,五遁忍术[邵氏出品].Five.Element.Ninjas.1982.BD.720P.x264.DD2.0.Mandarin.内封中字简体-CnSCG.mkv
9,五郎八卦棍, 3.20 GiB,1280 * 720, 1h 37mn,4701 Kbps,五郎八卦棍.Eight.Diagram.Pole.Fighter.1984.GER.BluRay.720p.x264.FLAC.2Audios-CMCT,,[五郎八卦棍].Eight.Diagram.Pole.Fighter.1984.GER.BluRay.720p.x264.FLAC.2Audios-CMCT.mkv
10,仇连环, 1.48 GiB,1920 * 816, 1h 39mn,2144 Kbps,仇连环.Man of Iron.1972.SB.BluRay.x264.AC3.1080P.YYH3D.xt,,仇连环.Man of Iron.1972.SB.BluRay.x264.AC3.1080P.YYH3D.xt.mkv
11,八道楼子, 2.92 GiB,1280 * 720, 1h 58mn,3532 Kbps,八道楼子.Seven.Man.Army.1976.BD720P.x264.DD5.1,,八道楼子[邵氏出品].Seven.Man.Army.1976.香港.动作.BD720P.x264.DD5.1.国语中字.mkv
12,刺马, 1.82 GiB,1920 * 800, 1h 56mn,2246 Kbps,刺马.Blood.Brothers.1973.BD.1080P.x264.AAC5.1.Mandarin,,刺马[邵氏出品].Blood.Brothers.1973.BD.1080P.x264.AAC5.1.Mandarin.内封特效中字简体.mkv
13,十三太保, 4.37 GiB,1280 * 544, 2h 1mn,5165 Kbps,十三太保.The.Heroic.Ones.1970.BD.720P.x264.DD2.0.Mandarin,,十三太保[邵氏出品].The.Heroic.Ones.1970.BD.720P.x264.DD2.0.Mandarin.内封特效中字简体.mkv
14,双侠, 3.28 GiB,1280 * 544, 1h 21mn,5764 Kbps,双侠.The.Deadly.Duo.1971.BluRay.720p.x264.DD20-MySiLU,,The.Deadly.Duo.1971.BluRay.720p.x264.DD20-MySiLU.mkv
15,多情剑客无情剑, 3.29 GiB,1280 * 720, 1h 41mn,4643 Kbps,多情剑客无情剑.The.Sentimental.Swordsman.1977.BD.720P.x264.DD2.0-CMCT,,多情剑客无情剑[邵氏出品].The.Sentimental.Swordsman.1977.BD.720P.x264.DD2.0.国粤双语.内封中字简繁-CMCT.mkv
