No,中文文件名,文件大小,画面尺寸,视频时长,视频码率,文件路径,文件Root,文件名称
1,乌鼠机密档案, 2.13 GiB,720 * 384, 1h 27mn,3481 Kbps,乌鼠机密档案.Run And Kill.1993,,[乌鼠机密档案].Run And Kill.1993.mkv
2,冲锋战警, 5.47 GiB,1280 * 546, 1h 40mn,7832 Kbps,冲锋战警.The.Constable.2013.720p.BluRay.x264.DTS-WiKi,,The.Constable.2013.720p.BluRay.x264.DTS-WiKi.mkv
3,别有动机, 2.12 GiB,1280 * 720, 1h 29mn,3380 Kbps,别有动机.Ulterior.Motive.2015.HD720P.X264.AAC,,别有动机.Ulterior.Motive.2015.HD720P.X264.AAC.mkv
4,制服-A, 2.47 GiB,1920 * 1080, 1h 31mn,3872 Kbps,制服-A.2013.A.Chilling.Cosplay,,A.Chilling.Cosplay.2013.1080p.WEB-DL.x264.AAC-SmY.mkv
5,午夜心跳, 4.37 GiB,1280 * 720, 1h 25mn,7333 Kbps,午夜心跳.Midnight Beating 2010 HDTV 720p x264-NGB,,Midnight Beating 2010 HDTV 720p x264-NGB.mkv
6,大事件, 2.33 GiB,1280 * 720, 1h 29mn,3728 Kbps,大事件.Breaking.News.2004.BluRay.720p.x264.AC3-CMCT,,[大事件(国粤双语)].Breaking.News.2004.BluRay.720p.x264.AC3-CMCT.mkv
7,大追捕, 4.36 GiB,1280 * 542, 1h 47mn,5813 Kbps,大追捕.Nightfall.2012.BluRay.720p.DTS.x264-CHD,,Nightfall.2012.BluRay.720p.DTS.x264-CHD.mkv
8,天水围的夜与雾, 2.73 GiB,874 * 480, 2h 2mn,3198 Kbps,天水围的夜与雾.Night.and.Fog.2009.DVDRip.x264.AC3.2Audios-CMCT,,[天水围的夜与雾].Night.and.Fog.2009.DVDRip.x264.AC3.2Audios-CMCT.mkv
9,夺帅, 3.80 GiB,1280 * 720, 1h 56mn,4666 Kbps,夺帅.Fatal.Move.2008.BluRay.720p.x264.AC3.2Audios-CMCT,,[夺帅].Fatal.Move.2008.BluRay.720p.x264.AC3.2Audios-CMCT.mkv
10,宅女侦探桂香, 1.59 GiB,1280 * 528, 1h 36mn,2360 Kbps,宅女侦探桂香.Detective.Gui.2015.HD720P.X264.AAC.Mandarin&Cantonese.CHS.Mp4Ba,,宅N侦探桂香.Detective.Gui.2015.HD720P.X264.AAC.Mandarin&Cantonese.CHS.Mp4Ba.mp4
11,心战, 3.04 GiB,1920 * 804, 1h 25mn,5124 Kbps,心战.Cross 2012 1080p WEB-DL x264 AC3,,Cross.2013.1080P.WEB-DL.X264.AC3.mkv
12,惊变, 1.37 GiB,720 * 400, 1h 37mn,2004 Kbps,惊变.All.of.a.Sudden.1996.DVDRip.x264.AC3-CMCT.任达华,,[惊变(国粤双语)].All.of.a.Sudden.1996.DVDRip.x264.AC3-CMCT.mkv
13,我左眼见到鬼, 2.20 GiB,1280 * 720, 1h 37mn,3224 Kbps,我左眼见到鬼.My.Left.Eye.Sees.Ghost.2002.Bluray.X264.2Audio.AAC,,我左眼见到鬼.My.Left.Eye.Sees.Ghost.2002.Bluray.X264.2Audio.AAC.mkv
14,撕票风云, 4.36 GiB,1280 * 544, 1h 32mn,6749 Kbps,撕票风云.Black.Ransom.2010.BluRay.720p.DTS.2Audio.x264-CHD,,Black.Ransom.2010.BluRay.720p.DTS.2Audio.x264-CHD.mkv
15,救火英雄, 6.00 GiB,1280 * 536, 1h 55mn,7434 Kbps,救火英雄.As.the.Light.Goes.Out.2014.BluRay.720p.DTS.2Audio.x264-CHD,,As.the.Light.Goes.Out.2014.BluRay.720p.DTS.2Audio.x264-CHD.mkv
16,朱丽叶与梁山伯, 1.37 GiB,720 * 384, 1h 24mn,2305 Kbps,朱丽叶与梁山伯.Juliet.in.Love.2000.DVDRip.X264-ken861222,,[朱丽叶与梁山伯]Juliet.in.Love.2000.DVDRip.X264-ken861222.mkv
17,杀生, 2.60 GiB,1280 * 720, 1h 43mn,3600 Kbps,杀生.Design.of.Death.2012.HDTV.720p.x264.AAC-CnSCG,,[杀生]Design.of.Death.2012.HDTV.720p.x264.AAC-CnSCG[国语中英字幕2.6G].mkv
18,极度重犯, 701 MiB,720 * 368, 51mn 12s,1913 Kbps,极度重犯.The.Suspect.1998.DVDRip.X264.AAC,,zy-tsuspect-cd1.mkv
19,极度重犯, 698 MiB,720 * 368, 53mn 5s,1839 Kbps,极度重犯.The.Suspect.1998.DVDRip.X264.AAC,,zy-tsuspect-cd2.mkv
20,灭门, 2.74 GiB,1280 * 688, 1h 34mn,4140 Kbps,灭门.Bad.Blood.2010.BluRay.720p.x264.AC3-WOFEI,,think3s.com[DB3.9]灭门.Bad.Blood.2010.BluRay.720p.x264.AC3-WOFEI.mkv
21,热爱岛, 3.50 GiB,1280 * 544, 1h 33mn,5393 Kbps,热爱岛.Passion.Island.2012.BluRay.720p.AC3.2Audio.x264-CHD,,Passion.Island.2012.BluRay.720p.AC3.2Audio.x264-CHD.mkv
22,花漾, 6.57 GiB,1280 * 534, 2h 2mn,7713 Kbps,花漾.Ripples.of.Desire.2012.720p.BluRay.x264.DTS-WiKi,,Ripples.of.Desire.2012.720p.BluRay.x264.DTS-WiKi.mkv
23,血染的婚纱, 1.44 GiB,704 * 368, 1h 46mn,1928 Kbps,血染的婚纱.Love Guns And Glass.1995,,血染的婚纱.Love Guns And Glass.1995.mkv
24,赤色危机, 2.05 GiB,1280 * 720, 1h 25mn,3439 Kbps,赤色危机.The.Blood.Bond.2010.BluRay.720p.x264.AC3-CMCT,,[赤色危机].The.Blood.Bond.2010.BluRay.720p.x264.AC3-CMCT.mkv
25,赤裸羔羊, 2.05 GiB,712 * 576, 1h 33mn,3152 Kbps,赤裸羔羊.Naked.Killer.1992.R2.HK.DVDRip.x264.4Audio.AC3.iNT-NowYS.任达华,,【坏坏美眉www.hhmm.cc】赤裸羔羊.Naked.Killer.1992.R2.HK.DVDRip.x264.4Audio.AC3.iNT-NowYS.mkv
26,跟踪, 3.20 GiB,1280 * 694, 1h 29mn,5122 Kbps,跟踪.Eye.In.The.Sky.2007.BluRay.720p.x264.AC3.2Audios-CMCT,,[跟踪].Eye.In.The.Sky.2007.BluRay.720p.x264.AC3.2Audios-CMCT.mkv
27,那夜凌晨我坐上了旺角开往大埔的红VAN, 2.73 GiB,1280 * 720, 2h 0mn,3247 Kbps,那夜凌晨我坐上了旺角开往大埔的红VAN.The Midnight After.2014.Bluray.720,,梦幻天堂·龙网(lwgod.com).720p.那夜凌晨，我坐上了旺角开往大埔的红VAN.mkv
28,上海滩十三太保, 1.38 GiB,704 * 432, 1h 26mn,2274 Kbps,上海滩十三太保.1981,,[香港][邵氏][1981][上海滩十三太保][国粤双语无字].mkv
29,与龙共舞, 3.60 GiB,1280 * 720, 1h 49mn,4727 Kbps,与龙共舞.Dances.With.the.Dragon.1991.BluRay.720p.x264.AC3.2Audios-CMCT,,[与龙共舞].Dances.With.the.Dragon.1991.BluRay.720p.x264.AC3.2Audios-CMCT.mkv
30,中环英雄, 1.66 GiB,852 * 480, 1h 32mn,2557 Kbps,中环英雄.Don't.Fool.Me.1991.DVDRip.X264.AC3.NFYL.刘德华,,南方娱乐（bbs.nfyl.net).中环英雄.Don't.Fool.Me.1991.DVDRip.X264.AC3.NFYL.mkv
31,二分之一次同床, 1.42 GiB,1920 * 1080, 1h 24mn,2397 Kbps,二分之一次同床.Thanks for your Love.1996,,二分之一次同床.Thanks for your Love.1996.mkv
32,人海孤鴻, 2.40 GiB,1024 * 512, 1h 26mn,4000 Kbps,人海孤鴻.City.kids.1989.R3.HK.DVDRip.X264.2AC3-Jackie,,人海孤鴻.City.kids.1989.R3.HK.DVDRip.X264.2AC3-Jackie.mkv
33,侠圣, 1.60 GiB,720 * 476, 1h 33mn,2454 Kbps,侠圣.国粤语 720X476P 1h33mn32s The.Sting.1992.DVDRiP.X264.2Audio.AC3-Tang,,侠圣.国粤语 720X476P 1h33mn32s The.Sting.1992.DVDRiP.X264.2Audio.AC3-Tang.mkv
34,兄弟之生死同盟, 2.50 GiB,1280 * 720, 1h 38mn,3656 Kbps,兄弟之生死同盟.Brothers.2007.HDTV.720p.x264.AC3-CnSCG,,[兄弟之生死同盟]Brothers.2007.HDTV.720p.x264.AC3-CnSCG[国语中字2.5G].mkv
35,全职杀手, 2.05 GiB,848 * 464, 1h 40mn,2923 Kbps,全职杀手.Fulltime.Killer.2001.DVDRip.x264.2Audio.DTS.INT-NowOur,,[全职杀手].Fulltime.Killer.2001.DVDRip.x264.2Audio.DTS.INT-NowOur.mkv
36,再说一次我爱你, 2.05 GiB,1280 * 720, 1h 35mn,3058 Kbps,再说一次我爱你.All.About.Love.2005.720p.HDTV.x264.AC3-CMCT,,[再说一次我爱你].All.About.Love.2005.720p.HDTV.x264.AC3-CMCT.mkv
37,刀剑笑, 1.36 GiB,624 * 336, 1h 26mn,2271 Kbps,刀剑笑.The.Three.Swordsmen.1994.SUBBED.2Audio.DVDRip.XVID.AC3.iNT-HKDY,,[刀剑笑].The.Three.Swordsmen.1994.SUBBED.2Audio.DVDRip.XVID.AC3.iNT-HKDY.avi
38,呖咕呖咕新年财, 2.80 GiB,1280 * 720, 1h 36mn,4146 Kbps,呖咕呖咕新年财.Fat.Choi.Spirit.2002.BluRay.720p.x264.AC3-CMCT,,[呖咕呖咕新年财(国粤双语)].Fat.Choi.Spirit.2002.BluRay.720p.x264.AC3-CMCT.mkv
39,哗!英雄, 2.76 GiB,1280 * 690, 1h 35mn,4118 Kbps,哗!英雄.What.A.Hero.1992.HDTV.720p.x264.AC3-CMCT,,[哗!英雄].What.A.Hero.1992.HDTV.720p.x264.AC3-CMCT.mkv
40,墨攻, 3.60 GiB,1280 * 720, 2h 13mn,3867 Kbps,墨攻.Muk.Gong.2006.BluRay.720p.x264.AC3-CMCT,,[墨攻(国粤双语)].Muk.Gong.2006.BluRay.720p.x264.AC3-CMCT.mkv
41,天下无贼, 2.05 GiB,1280 * 720, 1h 55mn,2531 Kbps,天下无贼.A.World.Without.Thieves.2004.720p.HDTV.x264.AC3-CNXP,,天下无贼.A.World.Without.Thieves.2004.720p.HDTV.x264.AC3-CNXP.mkv
