NO,cagegory,Movie Name,File Size,Video Size,Video Length,Video Rate,Subtitle,File Name,filesize,disk
1,电影频道录制版,405谋杀案, 4.02 GiB,720 * 480, 1h 37mn,5924 Kbps,无字幕或内嵌字幕,405谋杀案.1980年.mkv,0,中国电影2
2,电影频道录制版,731大溃逃, 2.40 GiB,1280 * 696, 1h 27mn,3921 Kbps,无字幕或内嵌字幕,731大溃逃.731.Fled.1993.HDTV.720p.x264.AC3-CMCT.mkv,0,中国电影2
3,电影频道录制版,东京审判, 3.55 GiB,1280 * 720, 1h 45mn,4829 Kbps,无字幕或内嵌字幕,东京审判.2006.CCTV6.mkv,0,中国电影2
4,电影频道录制版,东方大魔王, 2.59 GiB,1920 * 1080, 1h 24mn,4401 Kbps,无字幕或内嵌字幕,东方大魔王.1985 长影 CCTV6高清.mkv,0,中国电影2
5,电影频道录制版,东江特遣队, 1.61 GiB,1280 * 720, 1h 27mn,2621 Kbps,无字幕或内嵌字幕,东江特遣队.2006.CCTV6高清.720p.mkv,0,中国电影2
6,电影频道录制版,东港谍影, 3.40 GiB,720 * 480, 1h 30mn,5359 Kbps,无字幕或内嵌字幕,东港谍影.（1978年）.mkv,0,中国电影2
7,电影频道录制版,东瀛游侠, 4.26 GiB,1920 * 1080, 1h 21mn,7501 Kbps,无字幕或内嵌字幕,东瀛游侠.1991.CCTV6HD.1080i.TS,0,中国电影2
8,电影频道录制版,两宫皇太后, 5.33 GiB,1920 * 1080, 1h 41mn,7520 Kbps,无字幕或内嵌字幕,两宫皇太后.1987.CCTV6HD.1080i.TS,0,中国电影2
9,电影频道录制版,乱世儿女, 2.76 GiB,1280 * 680, 1h 29mn,4416 Kbps,无字幕或内嵌字幕,乱世儿女.(1990 香港)HDTV 720px264 AC3-CMCT.mkv,0,中国电影2
10,电影频道录制版,二十五个孩子一个爹, 3.88 GiB,1280 * 720, 1h 26mn,6424 Kbps,无字幕或内嵌字幕,二十五个孩子一个爹.2001.CCTV6.mkv,0,中国电影2
11,电影频道录制版,二子开店, 4.67 GiB,1280 * 720, 1h 37mn,6843 Kbps,无字幕或内嵌字幕,二子开店. 1987 CCTV6.720p.HDTV.x264 NGB.mkv,0,中国电影2
12,电影频道录制版,京都球侠, 1.49 GiB,1280 * 720, 1h 44mn,2048 Kbps,无字幕或内嵌字幕,京都球侠.1987.CCTV6.720P.mkv,0,中国电影2
13,电影频道录制版,代号213, 3.81 GiB,1920 * 1080, 1h 36mn,5660 Kbps,无字幕或内嵌字幕,代号213.CCTV6HD.1984.HDTV.720p.20140630.mkv,0,中国电影2
14,电影频道录制版,倒蛋部队, 2.63 GiB,1280 * 720, 1h 27mn,4317 Kbps,无字幕或内嵌字幕,倒蛋部队.1990.HDTVRip.720P.x264.ac3-DMWQC.mkv,0,中国电影2
15,电影频道录制版,八仙的传说, 1.74 GiB,1280 * 720, 1h 39mn,2503 Kbps,无字幕或内嵌字幕,八仙的传说.1985.CCTV6高清.720p.mkv,0,中国电影2
16,电影频道录制版,八喜临门, 4.38 GiB,1920 * 1080, 1h 19mn,7832 Kbps,无字幕或内嵌字幕,八喜临门.GDTV.My.Family.1986.1080i.H264.HDTV-NGB.ts,0,中国电影2
17,电影频道录制版,关东大侠, 4.37 GiB,1280 * 720, 1h 38mn,6361 Kbps,无字幕或内嵌字幕,关东大侠.1987 CCTV6.720p.HDTV.x264 NGB.mkv,0,中国电影2
18,电影频道录制版,冰城擒魔, 1.28 GiB,1280 * 720, 1h 22mn,2207 Kbps,无字幕或内嵌字幕,冰城擒魔.1994.珠影.CCTV6高清 720P.mkv,0,中国电影2
19,电影频道录制版,冰天侠女, 4.10 GiB,1280 * 720, 1h 31mn,6386 Kbps,无字幕或内嵌字幕,冰天侠女.1971.CCTV6.HDTV.720p.x264-CHDTV.mkv,0,中国电影2
20,电影频道录制版,冲出亚马逊, 2.05 GiB,1280 * 720, 1h 30mn,3235 Kbps,无字幕或内嵌字幕,冲出亚马逊.Charging.Out.Amazon.2002.HDTV.720p.x264.AC3-CMCT.mkv,0,中国电影2
21,电影频道录制版,冲天飞豹, 4.13 GiB,1920 * 1080, 1h 26mn,6814 Kbps,无字幕或内嵌字幕,冲天飞豹.1999.CCTV6.ts,0,中国电影2
22,电影频道录制版,刀剑笑, 3.81 GiB,1920 * 1080, 1h 19mn,6853 Kbps,无字幕或内嵌字幕,刀剑笑.1994 天津 香港 (林青霞刘德华)动作武侠.ts,0,中国电影2
23,电影频道录制版,刘三姐, 4.39 GiB,1280 * 720, 1h 55mn,5450 Kbps,无字幕或内嵌字幕,刘三姐.1961.CCTV6.mkv,0,中国电影2
24,电影频道录制版,别拿自己不当干部, 4.37 GiB,1280 * 720, 1h 31mn,6828 Kbps,无字幕或内嵌字幕,别拿自己不当干部.CCTV6.A.Big.Potato.2007.720p.HDTV.x264-NGB.mkv,0,中国电影2
25,电影频道录制版,南征北战, 4.37 GiB,1280 * 720, 2h 2mn,5124 Kbps,无字幕或内嵌字幕,南征北战.1952.CCTV6.mkv,0,中国电影2
26,电影频道录制版,南昌起义, 3.25 GiB,1280 * 720, 1h 47mn,4330 Kbps,无字幕或内嵌字幕,南昌起义.（上影1981）CCTV6.HDTV.720P.MKV.AC3-杰夫.mkv,0,中国电影2
27,电影频道录制版,南线大追歼, 5.72 GiB,1280 * 720, 2h 23mn,5702 Kbps,无字幕或内嵌字幕,南线大追歼.（上下集）.CHC.The.Great.Military.March.Forward：Pursue.And.Wipe.Out.In.The.South.1997.720p.HDTV.x264.AAC.mp4,0,中国电影2
28,电影频道录制版,古刹钟声, 4.01 GiB,1920 * 1080, 1h 16mn,7529 Kbps,无字幕或内嵌字幕,古刹钟声.1958.CCTV6HD.1080i.NC.ts,0,中国电影2
29,电影频道录制版,哥俩好, 1.54 GiB,1280 * 720, 1h 18mn,2810 Kbps,无字幕或内嵌字幕,哥俩好.1962.CCTV6.mkv,0,中国电影2
30,电影频道录制版,啊朋友还钱, 2.76 GiB,1280 * 720, 1h 22mn,4782 Kbps,无字幕或内嵌字幕,啊朋友还钱.CCTV6.Return.The.Money.2013.HDTV.720p.H264.AC3.mkv,0,中国电影2
31,电影频道录制版,喋血金兰, 4.15 GiB,1920 * 1080, 1h 26mn,6883 Kbps,无字幕或内嵌字幕,喋血金兰.1992 天山(申军谊于慧).ts,0,中国电影2
32,电影频道录制版,国庆10点钟, 3.43 GiB,1690 * 1080, 1h 32mn,5316 Kbps,无字幕或内嵌字幕,国庆10点钟.1956.长影.CCTV6高清.1080p.mkv,0,中国电影2
33,电影频道录制版,地下尖兵, 3.67 GiB,1920 * 1080, 1h 33mn,5647 Kbps,无字幕或内嵌字幕,地下尖兵.1959.CCTV6.mkv,0,中国电影2
34,电影频道录制版,地道战, 5.41 GiB,1670 * 1080, 1h 37mn,7946 Kbps,无字幕或内嵌字幕,地道战.1965.八一 CCTV6HD.1080i.mkv,0,中国电影2
35,电影频道录制版,地雷战, 3.41 GiB,1280 * 720, 1h 15mn,6449 Kbps,无字幕或内嵌字幕,地雷战.1962.CCTV6.宽屏.mkv,0,中国电影2
36,电影频道录制版,垂帘听政, 5.74 GiB,1920 * 1080, 1h 49mn,7525 Kbps,无字幕或内嵌字幕,垂帘听政.1983.CCTV6HD.1080i.TS,0,中国电影2
37,电影频道录制版,复仇的女人, 4.37 GiB,1280 * 720, 1h 36mn,6490 Kbps,无字幕或内嵌字幕,复仇的女人.1992.CCTV6.HDTV.720p.x264.NGB.珠影.mkv,0,中国电影2
38,电影频道录制版,大喘气, 2.31 GiB,1280 * 720, 1h 25mn,3890 Kbps,无字幕或内嵌字幕,大喘气.1988.CCTV6.HDTV.720p.X264.AC3 WolfMan SHD.mkv,0,中国电影2
39,电影频道录制版,大捷, 4.91 GiB,1920 * 1080, 1h 42mn,6877 Kbps,无字幕或内嵌字幕,大捷.上影1995.CCTV6.ts,0,中国电影2
40,电影频道录制版,大撒把, 4.35 GiB,1280 * 720, 1h 30mn,6897 Kbps,无字幕或内嵌字幕,大撒把.1992.HDTV.720P.H264.AC3.北影.mkv,0,中国电影2
41,电影频道录制版,大明劫, 2.80 GiB,1280 * 720, 1h 48mn,3692 Kbps,无字幕或内嵌字幕,大明劫.Fall.of.Ming.2013.HDTV.720p.x264.AC3-CnSCG.mkv,0,中国电影2
42,电影频道录制版,大漠恩仇, 4.21 GiB,1920 * 1080, 1h 27mn,6918 Kbps,无字幕或内嵌字幕,大漠恩仇.1992青影.CCTV6.ts,0,中国电影2
43,电影频道录制版,大漠紫禁令, 4.37 GiB,1848 * 1080, 1h 38mn,6389 Kbps,无字幕或内嵌字幕,大漠紫禁令.1986.CCTV6.mkv,0,中国电影2
44,电影频道录制版,大转折上集_鏖战鲁西南, 4.37 GiB,1280 * 720, 1h 27mn,7154 Kbps,无字幕或内嵌字幕,大转折上集_鏖战鲁西南.CCTV6.mkv,0,中国电影2
45,电影频道录制版,大转折下集_挺进大别山, 5.36 GiB,1280 * 720, 1h 59mn,6446 Kbps,无字幕或内嵌字幕,大转折下集_挺进大别山.CCTV6.mkv,0,中国电影2
46,电影频道录制版,大进军4大战宁沪杭, 6.58 GiB,1920 * 1040, 1h 51mn,8461 Kbps,无字幕或内嵌字幕,大进军4大战宁沪杭.1080p.mkv,0,中国电影2
47,电影频道录制版,好事多磨, 1.54 GiB,720 * 540, 1h 42mn,2163 Kbps,无字幕或内嵌字幕,好事多磨.1980.CCTV6.mkv,0,中国电影2
48,电影频道录制版,峨眉飞盗, 4.36 GiB,1280 * 720, 1h 22mn,7562 Kbps,无字幕或内嵌字幕,峨眉飞盗.HDTV.720P.H264.AC3-C283.mkv,0,中国电影2
49,电影频道录制版,巴士奇遇结良缘, 3.61 GiB,1280 * 624, 1h 20mn,6452 Kbps,无字幕或内嵌字幕,巴士奇遇结良缘.Romance on the Bus.1978.HDTV.720p.x264.ac3.jyt.mkv,0,中国电影2
50,电影频道录制版,庐山恋, 4.37 GiB,1024 * 500, 1h 22mn,7635 Kbps,无字幕或内嵌字幕,庐山恋.1980.CCTV6.mkv,0,中国电影2
51,电影频道录制版,感情生活, 2.40 GiB,1280 * 720, 1h 26mn,3957 Kbps,无字幕或内嵌字幕,感情生活.2010.HDTV.720p.x264.AC3-CMCT.mkv,0,中国电影2
52,电影频道录制版,戒烟不戒酒, 3.24 GiB,1280 * 720, 1h 25mn,5450 Kbps,无字幕或内嵌字幕,戒烟不戒酒.2011.CCTV6.mkv,0,中国电影2
53,电影频道录制版,戴手铐的旅客, 4.37 GiB,1280 * 720, 1h 41mn,6153 Kbps,无字幕或内嵌字幕,戴手铐的旅客.1980.CCTV6.720P.HDTV.H264.AC3.北影.mkv,0,中国电影2
