No,分类,中文文件名,文件大小,画面尺寸,视频时长,视频码率,字幕,文件名称,文件字节数,磁盘
1,本机临时,Allegiant, 4.37 GiB,1280 * 534, 2h 0mn,5191 Kbps,外挂中英,Allegiant.2016.720p.BluRay.x264-WiKi.mkv,4693829450,本机
2,本机临时,Jason, 3.82 GiB,1280 * 532, 2h 3mn,4444 Kbps,无字幕或内嵌字幕,Jason.Bourne.2016.720p.WEB-DL.H264.AC3-EVO[EtHD].mkv,4105779587,本机
3,本机临时,London, 4.00 GiB,1280 * 536, 1h 38mn,5804 Kbps,外挂中英,London.Has.Fallen.2016.720p.BluRay.x264-WiKi.mkv,4296415232,本机
4,本机临时,乌龙特工, 5.46 GiB,1280 * 536, 1h 56mn,6718 Kbps,外挂中英,Central.Intelligence.2016.UNRATED.720p.BluRay.x264-DRONES.mkv,5867353702,本机
5,本机临时,使徒行者, 4.76 GiB,3840 * 1608, 1h 49mn,6249 Kbps,无字幕或内嵌字幕,Line Walker 2016 4K 2160p WEB-DL x264 AAC-SeeHD.mkv,5110694216,本机
6,本机临时,使徒行者, 4.80 GiB,1280 * 544, 1h 48mn,6309 Kbps,无字幕或内嵌字幕,Line.Walker.2016.720p.BluRay.x264-WiKi.mkv,5150314630,本机
7,本机临时,冰河追凶, 2.01 GiB,1920 * 800, 1h 41mn,2824 Kbps,无字幕或内嵌字幕,Lost In White 2016 1080p WEB-DL x264 AC3-SeeHD.mkv,2155659714,本机
8,本机临时,危城, 2.64 GiB,1920 * 816, 1h 59mn,3154 Kbps,无字幕或内嵌字幕,Call.of.Heroes.2016.CHINESE.1080p.WEBRip.x264.AAC2.0-FGT.mkv,2837025066,本机
9,本机临时,发条城市, 2.48 GiB,1920 * 816, 1h 54mn,3107 Kbps,无字幕或内嵌字幕,Foolish Plans 2016 1080p WEB-DL x264 AAC-SeeHD.mp4,2665343712,本机
10,本机临时,喊山, 2.21 GiB,1920 * 808, 1h 47mn,2940 Kbps,无字幕或内嵌字幕,Mountain Cry 2016 1080p WEB-DL x264 AAC-SeeHD.mkv,2371150304,本机
11,本机临时,坏妈妈, 4.37 GiB,1280 * 536, 1h 40mn,6196 Kbps,无字幕或内嵌字幕,Bad.Moms.2016.720p.BluRay.x264-DRONES.mkv,4691327263,本机
12,本机临时,大唐玄奘, 5.47 GiB,1280 * 480, 1h 59mn,6529 Kbps,外挂中文,Xuan.Zang.2016.720p.BluRay.x264-WiKi.mkv,5870647891,本机
13,本机临时,奇幻森林, 3.89 GiB,1280 * 688, 1h 45mn,5253 Kbps,外挂中英,The.Jungle.Book.2016.720p.BluRay.x264.DTS-FGT.mkv,4172568578,本机
14,本机临时,寒战2, 2.48 GiB,1920 * 816, 1h 50mn,3223 Kbps,无字幕或内嵌字幕,Cold.War.Ⅱ.2016.1080p.WEB-DL.x264.2Audio.AAC-HQC.mkv,2667429393,本机
15,本机临时,封神传奇, 2.29 GiB,1920 * 800, 1h 48mn,3008 Kbps,无字幕或内嵌字幕,League.of.Gods.2016.CHINESE.1080p.WEBRip.x264.AAC2.0-FGT.mkv,2456259471,本机
16,本机临时,忍者神龟2, 4.37 GiB,1280 * 536, 1h 52mn,5580 Kbps,外挂中英,Teenage.Mutant.Ninja.Turtles.Out.of.the.Shadows.2016.720p.BluRay.x264-DRONES.mkv,4692153584,本机
17,本机临时,怒海救援, 5.46 GiB,1280 * 536, 1h 57mn,6669 Kbps,外挂中英,The.Finest.Hours.2016.720p.BluRay.x264-GECKOS.mkv,5867351954,本机
18,本机临时,悬案密码, 4.29 GiB,1280 * 544, 1h 51mn,5516 Kbps,外挂中文,A.Conspiracy.of.Faith.2016.720p.BluRay.DTS.x264-HDS[PRiME].mkv,4611530161,本机
19,本机临时,惊天大逆转, 2.36 GiB,1920 * 816, 1h 47mn,3139 Kbps,无字幕或内嵌字幕,Tik Tok 2016 1080p WEB-DL x264 AC3-SeeHD.mkv,2537931074,本机
20,本机临时,惊天魔盗团2, 5.46 GiB,1280 * 536, 2h 9mn,6054 Kbps,外挂中英,Now.You.See.Me.2.2016.720p.BluRay.x264-SPARKS.mkv,5867001580,本机
21,本机临时,我的战争, 2.37 GiB,1920 * 808, 2h 0mn,2809 Kbps,无字幕或内嵌字幕,My War 2016 1080p WEB-DL x264 AC3-SeeHD.mkv,2540784740,本机
22,本机临时,没声音, 5.46 GiB,1280 * 536, 2h 10mn,5984 Kbps,无字幕或内嵌字幕,Elle.2016.FRENCH.720p.BluRay.x264-LOST.mkv,5867651764,本机
23,本机临时,泰山归来险战丛林, 4.17 GiB,1280 * 534, 1h 49mn,5432 Kbps,外挂中英,The.Legend.of.Tarzan.2016.720p.BluRay.x264-WiKi.mkv,4480804482,本机
24,本机临时,火锅英雄, 2.38 GiB,1920 * 758, 1h 38mn,3449 Kbps,无字幕或内嵌字幕,Chongqing Hot Pot 2016 1080p WEB-DL x264 AC3-SeeHD.mkv,2555252170,本机
25,本机临时,狙击手幽灵射手, 3.58 GiB,1916 * 1076, 1h 39mn,5176 Kbps,外挂中英,Sniper.Ghost.Shooter.2016.1080p.WEB-DL.H264.AC3-EVO[PRiME].mkv,3847992039,本机
26,本机临时,玩命直播, 3.36 GiB,1908 * 788, 1h 36mn,4999 Kbps,外挂中英,Nerve.2016.1080p.WEB-DL.DD5.1.H264-FGT.mkv,3607109615,本机
