NO,category,Movie Name,File Size,Video Size,Video Length,Video Rate,Subtitle,File Name,filesize,disk
1,欧美单片,七宗罪, 6.43 GiB,1280 * 720, 2h 6mn,7254 Kbps,外挂中英,chd-se7.mkv,0,欧美单片1_3T
2,欧美单片,与敌共眠, 5.34 GiB,1280 * 694, 1h 37mn,7832 Kbps,外挂中英,与敌共眠.Sleeping.With.The.Enemy.1991.720p.BluRay.x264-WiKi.mkv,0,欧美单片1_3T
3,欧美单片,乖仔也疯狂, 4.37 GiB,1280 * 720, 1h 39mn,6316 Kbps,外挂中英|外挂中文,Risky.Business.1983.720p.BluRay.DTS.x264-iLL.mkv,0,欧美单片1_3T
4,欧美单片,保镖, 6.53 GiB,1280 * 720, 2h 9mn,7230 Kbps,外挂中英,保镖.The.Bodyguard.1992.BluRay.720p.DTS.2Audio.x264-CHD.mkv,0,欧美单片1_3T
5,欧美单片,光荣战役, 4.37 GiB,1280 * 688, 2h 2mn,5119 Kbps,外挂中英,Glory.1989.BluRay.720p.AC3.x264-SiNNERS.mkv,0,欧美单片1_3T
6,欧美单片,刺杀肯尼迪, 3.46 GiB,1024 * 576, 3h 25mn,2410 Kbps,无字幕或内嵌字幕,刺杀肯尼迪.Killing Kennedy.1991.BluRay.720p.DTS.2Audio.x264-yyets.mkv,0,欧美单片1_3T
7,欧美单片,土拨鼠之日, 5.47 GiB,1280 * 694, 1h 41mn,7746 Kbps,外挂中英,土拨鼠之日.Groundhog.Day.1993.720p.BluRay.x264-WiKi.mkv,0,欧美单片1_3T
8,欧美单片,塘鹅暗杀令, 5.44 GiB,1280 * 534, 2h 21mn,5523 Kbps,外挂中英,The.Pelican.Brief.1993.Bluray.720p.2Audio.x264-CHD.mkv,0,欧美单片1_3T
9,欧美单片,壮志凌云, 4.37 GiB,1280 * 528, 1h 49mn,5704 Kbps,外挂中英,chd-top-gun-dts-bdrip.mkv,0,欧美单片1_3T
10,欧美单片,夜都迷情, 5.47 GiB,1280 * 720, 2h 5mn,6239 Kbps,外挂中文,The.Bonfire.Of.The.Vanities.1990.720p.BluRay.x264-SiNNERS.mkv,0,欧美单片1_3T
11,欧美单片,大地雄心, 5.46 GiB,1280 * 544, 2h 19mn,5585 Kbps,外挂中文,Far.and.Away.1992.720p.BluRay.x264-HD4U.mkv,0,欧美单片1_3T
