NO,category,Movie Name,File Size,Video Size,Video Length,Video Rate,Subtitle,File Name,filesize,disk
1,欧美系列,007系列【1-24;1962-2012】, 6.53 GiB,1280 * 544, 2h 10mn,7151 Kbps,外挂中英,Octopussy.1983.BluRay.720p.DTS.x264-CHD.mkv,0,欧美系列1_2T
2,欧美系列,007系列【1-24;1962-2012】, 8.70 GiB,1280 * 534, 2h 23mn,8700 Kbps,外挂中英,Skyfall.2012.BluRay.720p.DTS.x264-CHD.mkv,0,欧美系列1_2T
3,欧美系列,007系列【1-24;1962-2012】, 6.53 GiB,1280 * 544, 2h 6mn,7396 Kbps,外挂中英,Moonraker.1979.BluRay.720p.DTS.x264-CHD.mkv,0,欧美系列1_2T
4,欧美系列,007系列【1-24;1962-2012】, 6.54 GiB,1280 * 544, 2h 22mn,6574 Kbps,外挂中英,On.Her.Majesty's.Secret.Service.1969.BluRay.720p.DTS.x264-CHD.mkv,0,欧美系列1_2T
5,欧美系列,007系列【1-24;1962-2012】, 4.37 GiB,1280 * 544, 2h 14mn,4661 Kbps,外挂中英,Never Say Never Again 1983.BDRiP.x264.720P.AC3-CHD.mkv,0,欧美系列1_2T
6,欧美系列,007系列【1-24;1962-2012】, 6.53 GiB,1280 * 538, 2h 12mn,7051 Kbps,外挂中文|外挂中英,Die.Another.Day.2002.BluRay.720p.DTS.x264-CHD.mkv,0,欧美系列1_2T
7,欧美系列,007系列【1-24;1962-2012】, 5.35 GiB,1280 * 546, 1h 59mn,6412 Kbps,外挂中英,Tomorrow.Never.Dies.1997.720p.DTS.x264-CHD.mkv,0,欧美系列1_2T
8,欧美系列,007系列【1-24;1962-2012】, 6.53 GiB,1280 * 544, 2h 7mn,7309 Kbps,外挂中英,For.Your.Eyes.Only.1981.BluRay.720p.DTS.x264-CHD.mkv,0,欧美系列1_2T
9,欧美系列,007系列【1-24;1962-2012】, 6.53 GiB,1280 * 542, 2h 13mn,7015 Kbps,外挂中英,Licence.to.Kill.1989.BluRay.720p.DTS.x264-CHD.mkv,0,欧美系列1_2T
10,欧美系列,007系列【1-24;1962-2012】, 6.54 GiB,1204 * 720, 1h 55mn,8121 Kbps,外挂中英,From.Russia.with.Love.1963.BluRay.720p.DTS.x264-CHD.mkv,0,欧美系列1_2T
